atc,name,dc_code,other_code
C01EB18,"ranolazine                                                                                                                                                                                                                                                ",C0002962,C0340288
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C0020538
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C0002994
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C0264716
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C0262428
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C1997351
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C0001824
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C1565489
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C0038454
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C0020538
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C0002994
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C0262428
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C1997351
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C0001824
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C1565489
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0038454
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0020538
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0002994
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0264716
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0262428
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0001824
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C1565489
C07AG01,"labetalol                                                                                                                                                                                                                                                 ",C0020538,C1753303
C07AG01,"labetalol                                                                                                                                                                                                                                                 ",C0020538,C4013784
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0235480,C0039232
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0235480,C0085612
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0235480,C0741292
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0235480,C0039240
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0235480,C0004238
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0741292,C0039232
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0741292,C0235480
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0741292,C0085612
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0741292,C0039240
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0741292,C0004238
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0004238,C0039232
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0004238,C0235480
