id,atc,name,dc_code,other_code,dc_name,other_name,random,path,cdist,res,jcn,lin,wup,lch,nam
1,C01EB18,ranolazine                                                                                                                                                                                                                                                ,C0002962,C0340288,Angina pectoris ,Stable Anginas,0,0.5,0.5,4.1924,-1,-1,0.8966,2.9957,0.2181
2,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C0038454,C0020538,Cerebrovascular accident ,Hypertensive disease ,0,0.25,0.25,2.2229,0.3668,0.6199,0.7368,2.3026,0.1738
3,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C0038454,C0002994,Cerebrovascular accident ,Angioedema ,0,0.25,0.25,2.2229,0.2203,0.4948,0.7368,2.3026,0.1738
4,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C0038454,C0264716,Cerebrovascular accident ,chronic heart failure,0,-1,-1,-1,-1,-1,-1,-1,-1
5,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C0038454,C0262428,Cerebrovascular accident ,vascular collagen disease,0,-1,-1,-1,-1,-1,-1,-1,-1
6,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C0038454,C1997351,Cerebrovascular accident ,Left ventricular cardiac dysfunction,0,-1,-1,-1,-1,-1,-1,-1,-1
7,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C0038454,C0001824,Cerebrovascular accident ,Agranulocytosis ,0,0.1,0.1,0.9555,0.1555,0.2291,0.4762,1.3863,0.138
8,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C0038454,C1565489,Cerebrovascular accident ,renal insufficiencies,0,0.1111,0.1111,0.9555,0.1717,0.247,0.5,1.4917,0.1409
9,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C0264716,C0038454,chronic heart failure,Cerebrovascular accident ,0,-1,-1,-1,-1,-1,-1,-1,-1
10,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C0264716,C0020538,chronic heart failure,Hypertensive disease ,0,-1,-1,-1,-1,-1,-1,-1,-1
11,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C0264716,C0002994,chronic heart failure,Angioedema ,0,-1,-1,-1,-1,-1,-1,-1,-1
12,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C0264716,C0262428,chronic heart failure,vascular collagen disease,0,-1,-1,-1,-1,-1,-1,-1,-1
13,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C0264716,C1997351,chronic heart failure,Left ventricular cardiac dysfunction,0,-1,-1,-1,-1,-1,-1,-1,-1
14,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C0264716,C0001824,chronic heart failure,Agranulocytosis ,0,-1,-1,-1,-1,-1,-1,-1,-1
15,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C0264716,C1565489,chronic heart failure,renal insufficiencies,0,-1,-1,-1,-1,-1,-1,-1,-1
16,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C1997351,C0038454,Left ventricular cardiac dysfunction,Cerebrovascular accident ,0,-1,-1,-1,-1,-1,-1,-1,-1
17,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C1997351,C0020538,Left ventricular cardiac dysfunction,Hypertensive disease ,0,-1,-1,-1,-1,-1,-1,-1,-1
18,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C1997351,C0002994,Left ventricular cardiac dysfunction,Angioedema ,0,-1,-1,-1,-1,-1,-1,-1,-1
19,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C1997351,C0264716,Left ventricular cardiac dysfunction,chronic heart failure,0,-1,-1,-1,-1,-1,-1,-1,-1
20,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C1997351,C0262428,Left ventricular cardiac dysfunction,vascular collagen disease,0,-1,-1,-1,-1,-1,-1,-1,-1
21,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C1997351,C0001824,Left ventricular cardiac dysfunction,Agranulocytosis ,0,-1,-1,-1,-1,-1,-1,-1,-1
