atc,name,dc_code,other_code,dc_name,other_name,lesk,vector
C01EB18,"ranolazine                                                                                                                                                                                                                                                ",C0002962,C0340288,"Angina pectoris ",Stable Anginas,54910.0,0.9315
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C0020538,"Cerebrovascular accident ","Hypertensive disease ",42342.0,0.637
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C0002994,"Cerebrovascular accident ","Angioedema ",29784.0,0.4752
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C0264716,"Cerebrovascular accident ",chronic heart failure,1198.0,0.4134
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C0262428,"Cerebrovascular accident ",vascular collagen disease,1872.0,0.6012
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C1997351,"Cerebrovascular accident ",Left ventricular cardiac dysfunction,420.0,0.3385
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C0001824,"Cerebrovascular accident ","Agranulocytosis ",400.0,0.5973
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C1565489,"Cerebrovascular accident ",renal insufficiencies,1117.0,0.6197
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C0038454,chronic heart failure,"Cerebrovascular accident ",1198.0,0.4134
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C0020538,chronic heart failure,"Hypertensive disease ",3727.0,0.78
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C0002994,chronic heart failure,"Angioedema ",1274.0,0.4605
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C0262428,chronic heart failure,vascular collagen disease,1020.0,0.5509
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C1997351,chronic heart failure,Left ventricular cardiac dysfunction,307.0,0.9077
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C0001824,chronic heart failure,"Agranulocytosis ",267.0,0.4265
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C1565489,chronic heart failure,renal insufficiencies,828.0,0.7047
